ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,P98,2026-08-24 18:51:15,230.9
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,E10,2026-08-24 18:51:15,202.9
7-Eleven Belmore,"792-794 Canterbury Road Chapel Street, Belmore NSW 2192",Belmore,2192,7-Eleven,PDL,2026-08-24 18:51:15,251.9
7-Eleven Kensington,"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",Kensington,2033,7-Eleven,U91,2026-08-24 18:51:15,204.9
EG Ampol Lake Cathie,"1609 Ocean Drive, Lake Cathie NSW 2445",Lake Cathie,2445,EG Ampol,U91,2026-08-24 18:57:14,204.9
EG Ampol Lake Cathie,"1609 Ocean Drive, Lake Cathie NSW 2445",Lake Cathie,2445,EG Ampol,P95,2026-08-24 18:57:14,221.9
EG Ampol Lake Cathie,"1609 Ocean Drive, Lake Cathie NSW 2445",Lake Cathie,2445,EG Ampol,P98,2026-08-24 18:57:14,231.9
ASTRON Bathurst,"35 WILLIAM ST, BATHURST NSW 2795",BATHURST,2795,ASTRON,DL,2026-08-24 18:59:44,246.5
Metro Marrickville,"103 SYDENHAM RD, MARRICKVILLE NSW 2204",MARRICKVILLE,2204,Metro Fuel,PDL,2026-08-24 19:00:33,234.9
Metro Marrickville,"103 SYDENHAM RD, MARRICKVILLE NSW 2204",MARRICKVILLE,2204,Metro Fuel,E10,2026-08-24 19:00:33,188.7
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,PDL,2026-08-24 19:00:46,244.9
Metro Petroleum Gosford,"57 CENTRAL COAST HWY, WEST GOSFORD NSW 2250",WEST GOSFORD,2250,Metro Fuel,E10,2026-08-24 19:00:46,193.7
North Ryde Petroleum,"118 Coxs Rd, North Ryde NSW 2113",North Ryde,2113,Independent,U91,2026-08-24 19:02:00,195.4
Ampol Narwee,"41 BROADARROW RD, NARWEE NSW 2209",NARWEE,2209,Ampol,E10,2026-08-24 19:05:08,190.7
